OLS_lD,OLS_α,GLS_lD,GLS_α
-3.9978466599365152,-0.009545404056289897,-3.9957430194127235,0.002104918193452084
-3.256164853429702,0.5052600143188464,-3.297445963263551,0.47652476248057946
-4.098462607918874,-0.014874063694573891,-4.049192711385203,0.039212701032571746
-3.098705916384386,0.6189451780602333,-3.0789194473186097,0.6315200953137827
-2.0138681509770304,0.9915990720241084,-1.990541726894281,1.0149555775897483
-3.2334691407568847,0.4371405799492294,-3.279724430605454,0.38943587851364003
-3.7808730876697236,0.30082250421687107,-3.7968390960040797,0.29209897587624145
-4.059061858005803,0.01979676339519898,-3.9848694939598617,0.09803678747088039
-2.327418063302373,0.684573858146063,-2.3393894447207457,0.699724697492646
-1.7723932840872996,1.153284178640936,-1.7734046431137545,1.151053899330815
-4.262074257679009,0.08419556649114313,-4.160749106567186,0.19064236448322136
-2.448699229657885,0.798809353186364,-2.4334211255809377,0.8119924622813417
-2.7345567281976653,0.8555967151666266,-2.807096642648389,0.8090842331755805
-3.9555944848282767,0.008281305617813928,-3.907096898156579,0.06558618754629285
-4.1792615932384205,0.16414874042264316,-4.115002793748846,0.23418099756297983
-4.313345642764938,0.031351509538414035,-4.270197589533777,0.0790038447149813
-3.5511649514032264,-0.00020702706193986842,-3.5030748545790433,0.055856925433424215
-1.559757883071617,0.982452471306102,-1.5068488679844125,1.049031414421002
-3.1267319505650217,0.0266765117993657,-3.141840651999372,0.017361298208954996
-3.663465390260072,-0.012038503503504216,-3.6463323568838977,0.008381317434634912
-1.7418590675371242,0.8251787487137197,-1.5604135182773269,1.0447408259269986
-3.374882489319779,0.4664379397491949,-3.342015611962761,0.5079715158475061
-3.4392979969618303,-0.00854242869463917,-3.4153355514422725,0.0005269570341343384
-2.2969619652677657,0.5662481056517663,-2.398713852141992,0.46823158437079637
-3.7413735176266965,0.048632999906104146,-3.6948078405984104,0.10477402879664983
-3.344819645713981,0.060949404035984145,-3.341187727851343,0.06537172322715547
